,oficialista,opositor
acomodaticios,1,0
acomode,0,3
acomodo,1,0
acomodó,1,0
acompaña,5,0
acompañaba,2,1
acompañaban,3,0
acompañada,5,1
acompañadas,0,1
acompañado,4,1
acompañados,1,0
acompañamiento,3,0
acompañan,4,1
acompañando,2,1
acompañante,0,1
acompañantes,1,0
acompañar,2,1
acompañara,1,0
acompañarla,3,0
acompañarlo,0,1
acompañarme,1,0
acompañaron,0,4
acompañe,1,0
acompañé,2,0
acompañó,4,2
acondicionado,0,1
acongojado,1,0
aconseja,2,0
aconsejados,1,0
aconsejan,0,2
aconsejando,0,1
aconsejar,1,1
aconsejaron,2,0
aconsejó,2,1
acontecieron,0,1
acontecimiento,6,3
acontecimientos,5,1
acopiando,0,1
acoplados,1,0
acordaba,1,0
acordada,0,2
acordado,0,2
acordando,1,0
acordar,1,3
acordaron,2,0
acordarse,1,0
acordaré,1,0
acordate,2,0
acorde,0,1
acordonaron,1,0
acordsar,1,0
acordás,4,1
acordé,3,0
acordó,3,0
acorralado,0,2
acorralados,1,0
acorralando,0,1
acorralar,0,1
acortamiento,0,2
acortan,1,0
acortar,1,0
acosa,0,1
acosados,1,0
acoso,0,4
acosta,2,1
acostamos,1,0
acostaron,2,0
acostarse,1,0
acostumbra,1,1
acostumbraba,1,0
acostumbraban,1,0
acostumbrada,3,0
acostumbrado,5,3
acostumbrados,8,0
acostumbramos,2,0
acostumbrar,1,0
acostumbraron,1,0
acostumbrarse,1,0
acostumbré,1,0
acotado,0,1
acotó,1,0
acrecentando,1,0
acrecentarlo,1,0
acrecienta,0,1
acreditada,1,0
acreditar,1,1
acreedor,0,2
acreedores,1,13
acribilladas,1,0
acribillado,0,1
acribillados,0,2
acribillar,0,1
acrobacias,2,0
acrítica,0,1
acta,1,2
actas,0,2
actitud,17,17
actitudes,1,5
activa,2,3
activación,0,1
activamente,3,0
activar,2,2
actividad,5,17
actividades,9,5
activismo,2,0
activista,1,0
activistas,2,0
activo,1,6
activó,1,0
acto,32,19
acton,0,1
actor,8,2
actores,7,4
actos,14,11
actriz,2,1
actuaban,1,0
actuaciones,1,1
actuación,3,1
actuado,1,2
actual,15,14
actuales,2,5
actualidad,4,3
actualización,2,1
actualizados,0,1
actualizar,1,1
actualmente,5,2
actuamos,3,0
actuante,1,0
actuar,7,5
actuaron,1,1
actuarán,0,1
actuáramos,0,1
actuó,1,6
actúa,0,4
actúan,3,0
actúe,0,1
actúen,0,2
acuario,6,0
acuarios,1,0
acudan,0,1
acudiendo,0,1
acudieron,0,1
acudir,0,1
acudió,0,2
acueducto,2,0
acuerda,8,0
acuerdan,0,1
acuerdo,60,50
acuerdos,7,13
acumulaba,0,1
acumulación,5,2
acumulada,0,1
acumulador,1,0
acumulando,1,0
acumular,1,1
acumularon,1,0
acumulativos,0,1
acumule,1,0
acusa,2,3
acusaba,1,1
acusaban,0,1
acusacion,1,0
acusaciones,4,4
acusación,3,7
acusada,1,0
acusado,0,4
acusadoras,1,0
acusados,0,3
acusamos,0,1
acusando,2,0
acusar,0,5
acusara,0,2
acusarnos,1,0
acusaron,1,3
acusatorias,1,0
acuse,0,2
acusándolo,1,0
acusás,1,0
acusó,0,11
acá,38,17
acápite,1,0
acérrima,0,2
acérrimo,0,1
